data-binding

greenmail

marklogic,beautifulsoup,lxml,elementtree,numexpr,python-newspaper

netbeans-7.4

jira-rest-java-api,python-jira,setuptools,virtualenv,easy-install,pip

emma,python-coverage,pybuilder,tox,python-unittest,doctest

gcloud-java,gcloud-python,google-cloud-sdk,endpoints-proto-datastore,pyhdf,lmfit

parse4j

docx4j

jsprit,cvxopt,numexpr,scipy,numpy,scikit-learn

ioexception,pickle,bytesio,attributeerror,ftplib,python-os

jena,rdflib,redland,numexpr

jyaml

timing-framework

jnrpe

groovy++

jaxb2-maven-plugin

spring-tld,scikit-learn,countvectorizer,enthought,pyhdf

jpbc

jool-library

dcm4che

emftext

biginteger,gmpy

simplexml,elementtree,lxml,minidom,beautifulsoup,urlparse

geometric-arc,aplpy,imshow,zelle-graphics,mayavi,qutip

java-deployment-toolkit

attach-api

dita-ot,elementtree,lxml,python-docx,reportlab,urlparse

threadpool,python-multiprocessing,gil,joblib,multiprocessing,python-multithreading

opensaml,numpy,cookiejar,python-requests

gzipstream,tarfile,urlparse,python-requests,urlopen,numexpr

http-unit,twill,python-requests,mechanicalsoup,scikit-learn,cookiejar

wsdl2java

winstone,twill,pyopenssl,virtualenv,paster,python-webbrowser

aar,distribute,fipy,pyhdf,numpy,lmfit

htmlunit,beautifulsoup,splinter,robobrowser,python-requests,mechanicalsoup

scriptom

libphonenumber,distribute,pythonista

itext7

lightadmin,pyhdf,qutip,skbio,numexpr,numpy

file-exists,shutil,urlparse

kryonet,dpkt

josql

ini4j

openimaj,scikit-image,python-imageio,opencv,python-imaging-library,scipy

c,numexpr,skbio,memoryview,python-c-api,ctypes

worldwind,numexpr,aplpy,pygraph,scipy

jarsigner,epd-python,canopy,pyopenssl,distribute,pip

wro4j

maximo,paster,numpy,oracleclient

ksoap,suds,spyne,zsi,soappy,soaplib

swing,numpy,tkinter,scipy,matplotlib

jenv

gwt-elemental

djigger

dtsearch

ui4j

jose4j

jpdl

grid-layout,aplpy

